date,year,sport,event
Mar-28,2018,Cricket,"Steve Smith and David Warner are suspended by Cricket Australia for 12 months, and Cameron Bancroft suspended 9 monthsfor their part in the infamous ball-tampering scandal in South Africa"
Mar-29,1929,Ice Hockey,"Stanley Cup : Boston Bruins beat New York Rangers, 2-1 for a 2-0 series sweep"
Mar-29,1946,Cricket,1st Test Cricket match between Australia & New Zealand
Mar-29,1987,AFL,"West Coast Eagles play their first ever VFL game, beating Richmond"
Mar-29,1997,AFL,"Port Adelaide play their first AFL game, beaten by Collingwood by 79 points"
Mar-29,2015,Cricket,Australia win their fourth World Cup with 7 wicket win over New Zealand
Mar-30,1916,Ice Hockey,"Stanley Cup Montreal Canadiens (NHA) beat Portland Rosebuds (PCHA), 2-1 for a 3-2 series victory"
Mar-30,1918,Ice Hockey,"Stanley Cup, Toronto Arenas (NHL) beat Vancouver Millionaires (PCHA), 2-1 for a 3-2 series victory"
Mar-30,1925,Ice Hockey,"Stanley Cup: Victoria Cougars (WCHL) beat Montreal Canadiens (NHL), 6-1 for a 3-1 series win; last non-NHL team to win trophy"
Mar-30,1945,Baseball,"Birthday of baseball legend Reggie Jackson, nicknamed 'Mr October' for his postseason heroics; he hit three consecutive home runs in Game 6 of the 1977 World Series"
Mar-30,1946,Cricket,Last Test Cricket appearance of Bill O'Reilly
Mar-30,1957,Horse Racing,Todman wins the first running of the Golden Slipper
Mar-30,1997,AFL,"The merged Brisbane Lions play their first game, beaten by Adelaide by 36 points"
Mar-30,2020,Olympics,IOC announces postponed 2020 Summer Olympic Games will be held July 23-August 8 in 2021 because of the COVID-19 pandemic
Mar-31,1923,Ice Hockey,"Stanley Cup,  Ottawa Senators (NHL) edge Edmonton Eskimos (WCHL), 1-0 for a 2-0 series sweep"
Mar-31,1984,AFL,Future dual Brownlow medallist Greg Williams has a VFL record 38 disposals in his debut
Apr-01,1919,Ice Hockey,"Stanley Cup Final, Montreal Canadiens (NHL) & Seattle Metropolitans (PCHA) tied at 2-2-1, trophy not awarded due to worldwide flu epidemic"
Apr-01,1920,Ice Hockey,"Stanley Cup: Ottawa Senators (NHL) beat Seattle Metropolitans (PCHA), 6-1 for a 3-2 series win"
Apr-01,1995,AFL,"Fremantle Dockers play their first AFL game, beaten by Richmond"
Apr-01,1999,Basketball,"Detroit Pistons guard Joe Dumars becomes 10th player in NBA history to play 1,000 games with the same team"
Apr-02,2005,Soccer,Newcastle United teammates Kieron Dyer and Lee Bowyer are sent off for fighting each other
Apr-02,2011,AFL,"Gold Coast Suns play their first AFL game, beaten by Carlton by 119 points"
Apr-02,2019,Basketball,"OKC guard Russell Westbrook becomes 2nd player in NBA history to have 20+ points, rebounds and assists in a game; records 20-20-21 in 119-103 win over LA Lakers"
Apr-03,1927,Soccer,Imre Schlosser becomes the first player to score 500 goals in top level competitions
Apr-03,2019,Basketball,San Antonio coach Geg Popovich is ejected after an NBA record low 63 seconds
Apr-03,2022,Cricket,Australia wins the Women's Cricket ODI World Cup beating England by 71 runs
Apr-04,1921,Ice Hockey,"Stanley Cup: Ottawa Senators (NHL) beat Vancouver Millionaires (PCHA), 2-1 for a 3-2 series victory"
Apr-04,1930,Cricket,Les Ames becomes the first wicketkeeper to score a Test Cricket century with 149
Apr-05,1879,Horse Racing,Newminster wins the first running of the Caulfield Cup
Apr-05,1972,Baseball,The regular MLB season fails to open due to a player strike for the first time in history
Apr-05,1984,Basketball,"Kareem Abdul-Jabbar surpasses Wilt Chamberlain (31,419) to become the all leading NBA points scorer"
Apr-05,1998,Football,The Arizona Diamondbacks record their first win in team history with a 3-2 victory over the San Francisco Giants
Apr-05,2019,Basketball,Russell Westbrook becomes first player in NBA history to average a triple-double for the third consecutive season
Apr-06,1896,Olympics,"The first modern Summer Olympic Games open in Athens, Greece; American athlete James Connolly becomes the first modern Olympic champion when he wins the triple jump"
Apr-06,1926,Ice Hockey,"Stanley Cup: Montreal Maroons beat Victoria Cougars (WHL), 2-0 for a 3-1 series victory"
Apr-06,1993,Baseball,"Florida Marlins lose their first-ever game, 4-2, to the LA Dodgers"
Apr-06,2014,Cricket,Australia wins Women's Cricket T20 World Cupto neating England
Apr-06,2024,Horse Racing,"Frankie Dettori rides 6 consecutive winners at Santa Anita Park, Califorina, United States"
Apr-07,1984,Horse Racing,"Trainer Colin Hayes sends out his 3,000th Australian winner, a remarkable milestone in one of Australian horse racing's longest and most successful training careers"
Apr-08,1943,Ice Hockey,"Stanley Cup: Detroit Red Wings beat Boston Bruins, 2-0 for a 4-0 series sweep"
Apr-08,1969,Baseball,"1969 Expansion teams Kansas City Royals, Montreal Expos, San Diego Padres & Seatle Pilots win their 1st games"
Apr-08,1969,Baseball,"First Major League Baseball game featuring a Canadian team; Montreal Expos beats NY Mets, 11-10 at Shea Stadium; KC Royals"
Apr-09,1932,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs beat New York Rangers, 6-4 for 3-0 series sweep"
Apr-09,1935,Ice Hockey,"Stanley Cup Final, Montreal Maroons beat Toronto Maple Leafs, 4-1 for 3-0 series sweep; Maroons last defunct team to win the Cup"
Apr-09,1946,Ice Hockey,"Stanley Cup Final, Montreal Canadiens beat Boston Bruins, 6-3 for a 4-1 series victory"
Apr-09,1968,Ice Hockey,Minnesota North Stars Wayne Connelly is 1st to score on a Stanley Cup penalty shot
Apr-09,1971,Cricket,"Birthday of India's all-time Test run-scorer Sachin Tendulkar, who went on to score 15,921 Test runs and 100 international centuries"
Apr-10,1916,Golf,The Professional Golfers Association of America (PGA) is founded in New York City
Apr-10,1934,Ice Hockey,"Stanley Cup Final, Chicago Blackhawks beat Detroit Red Wings, (3-1)"
Apr-10,1993,Ice Hockey,Ottawa Senators win 1st road game (Islanders) after 38 straight loses
Apr-11,1962,Baseball,New York Mets make a losing debut
Apr-11,1983,Soccer,"Birthday of Uruguay striker Luis Suárez, winner of the Premier League golden boot and European Golden Shoe in 2014, who scored 195 goals for Liverpool in all competitions"
Apr-12,1938,Ice Hockey,"Stanley Cup Final, Chicago Black Hawks become the only team to win ther Stanley Cup with regular season losing record, defeating Toronto Maple Leafs (3-1)"
Apr-12,1941,Ice Hockey,"Stanley Cup Final, Boston Bruins sweep Detroit Red Wings (4-0)"
Apr-12,1969,AFL,Alex Jesaulenko kicks a VFL record 12 points in a game (kicked 6 goals)
Apr-12,2004,Cricket,"Brian Lara becomes the first (and only) player to score 400 in aTest Match innings, against England in Antigua"
Apr-12,2019,Rugby League,"Melbourne Storm captain Cameron Smith becomes highest point scorer in Australian Rugby League history, surpassing  Hazem El Masri, 2,418"
Apr-13,1927,Ice Hockey,"Stanley Cup Final, Ottawa Senators beat Boston Bruins, (2-0-2)"
Apr-13,1940,Ice Hockey,"Stanley Cup Final,  New York Rangers beat Toronto Maple Leafs, (4-2)"
Apr-13,1944,Ice Hockey,"Stanley Cup Final, Montreal Canadiens sweep Chicago Blackhawks (4-0)"
Apr-13,1953,Baseball,"1st game of Milwaukee Braves, they beat Cincinnati Reds 2-0"
Apr-13,1954,Baseball,"Baltimore Orioles 1st game, loses to Tigers in Detroit 3-0"
Apr-13,1976,Basketball,"1st NBA playoff game for Cleveland Cavliers, they lose 100-95 to Washington"
Apr-13,1980,Olympics,US and its allies boycott the Summer Olympics in Moscow in protest against Russia's invasion of Afghanistan
Apr-13,1997,Golf,"Tiger Woods wins his first major, winning by a record 12 strokes and the lower score in Masters history"
Apr-13,1997,Golf,"21-year-old Tiger Woods wins the Masters Tournament by a record 12 strokes, becoming the youngest Masters champion in history and the first person of colour to win the tournament"
Apr-13,2013,Horse Racing,"Black Caviar retires from racing, winning the TJ Smith Stakes at Randwick, retiring with 25 wins from 25 races"
Apr-13,2019,Basketball,"Gregg Popovich surpasses Lenny Wilkens to became the all-time winningest coach in NBA history with his 1,413th"
Apr-14,1928,Ice Hockey,"Stanley Cup Final, New York Rangers beat Montreal Maroons (3-2)"
Apr-14,1948,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs go back-to-back with a sweep over Detroit Red Wings (4-0)"
Apr-14,1955,Ice Hockey,"Stanley Cup Final,  Detroit Red Wings win back-to-back titles; beat Montreal Canadiens (4-3)"
Apr-14,1960,Ice Hockey,"Stanley Cup Final: Montreal Canadiens sweep Toronto Maple Leafs, (4-0)"
Apr-14,1968,Basketball,"First NBA game at New York's iconic Madison Square Garden; NY Knicks beat San Diego Rockets, 114-102"
Apr-14,1969,Baseball,"First regular-season MLB game played outside the United States; Montreal Expos beat St. Louis Cardinals, 8-7 at Parc Jarry, Montreal"
Apr-14,1969,NFL,"Birthday of NFL legend Jerry Rice, the San Francisco 49ers wide receiver who holds virtually every significant NFL receiving record including 1,549 receptions, 22,895 yards, and 197 touchdowns"
Apr-15,1896,Olympics,"1st Modern Summer Olympic Games close at Panathenaic Stadium in Athens, Greece"
Apr-15,1937,Ice Hockey,"Stanley Cup Final,  Detroit Red Wings beat New York Rangers, (3-2)"
Apr-15,1947,Baseball,Jackie Robinson ibecomess 1st African American man to play in the MLB
Apr-15,1952,Ice Hockey,"Stanley Cup Final, Detroit Red Wings sweep Montreal Canadiens (4-0)"
Apr-15,1989,Soccer,"Hillsborough disaster: 96 people are crushed to death and 766 are injured at Hillsborough Football Stadium in Sheffield, England, during an FA Cup semi-final between Liverpool and Nottingham Forest"
Apr-15,1997,Baseball,Major League Baseball honors Jackie Robinson by retiring #42 for all teams
Apr-16,1929,Baseball,Cleveland Indians become the first MLB team to permanently feature numbers on the backs of their uniforms
Apr-16,1939,Ice Hockey,"Stanley Cup Final, Boston Bruins beat Toronto Maple Leafs, (4-1)"
Apr-16,1949,AFL,"John Coleman kicks 12 goals in his VFL debut, still the only player to kick 10 or more goals on debut"
Apr-16,1949,Ice Hockey,"Stanley Cup Final, 3-peat for Toronto Maple Leafs as they sweep  Detroit Red Wings (4-0)"
Apr-16,1953,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens beat Boston Bruins )4-1)"
Apr-16,1954,Ice Hockey,"Stanley Cup Final, Detroit Red Wings beat Montreal Canadiens (4-3)"
Apr-16,1957,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens beat Boston Bruins (4-1)"
Apr-16,1961,Ice Hockey,"Stanley Cup Final, Chicago Blackhawks beat Detroit Red Wings (4-2)"
Apr-16,1973,Cricket,"Birthday of Shane Warne, one of cricket's greatest ever bowlers, who took 708 Test wickets and revolutionised leg-spin bowling"
Apr-17,1933,Football,Chicago Bears win their 1st NFL Game beating NY Giants 23-21
Apr-17,2015,Cricket,James Anderson becomes the highest wicket-taking bowler in England's test cricket history
Apr-18,1809,Horse Racing,"First running of the 2,000 guineas horse race at Newmarket, England won by Wizard, ridden by Bill Clift"
Apr-18,1942,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs beat Detroit Red Wings (4-3) overcoming a 3-0 deficit"
Apr-18,1950,Baseball,Sam Jethroe is 1st African American to play for Boston Braves
Apr-18,1959,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens' 4th straight title; beating Toronto Maple Leafs (4-1)"
Apr-18,1963,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs go back-to-back beating Detroit Red Wings (4-1)"
Apr-18,1965,Ice Hockey,"Birthday of Mario Lemieux, Pittsburgh Penguins legend who overcame cancer to lead his team to back-to-back Stanley Cup championships and score 690 career NHL goals"
Apr-18,1992,Cricket,Start of South Africa's 1st Test Cricket since 1970 (v WI Bridgetown)
Apr-18,2009,Horse Racing,Black Caviar wins her first race
Apr-19,1947,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs beat Montreal Canadiens (4-2)"
Apr-19,1956,Baseball,"1st MLB baseball game in New Jersey - Brooklyn Dodgers beat Philadelphia Phillies, 5-4"
Apr-19,1987,Cricket,Brendon Kuruppu scores 201* on Test Cricket debut (Sri Lanka v NZ)
Apr-19,1987,Basketball,LA Clippers end season with a terrible 12-70 record
Apr-19,2021,Ice Hockey,San Jose Sharks forward Patrick Marleau breaks Gordie Howe's NHL record for most games played
Apr-20,1912,Baseball,"1912 Fenway Park in Boston, Massachusetts officially opens, Red Sox beat visitibg  New York Highlanders 7-6 in 11 innings"
Apr-20,1916,Baseball,Chicago Cubs play their 1st game at Weeghman Park (now Wrigley Field) and beat the Cincinnati Reds 7-6
Apr-20,1958,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens' complete 3-peat, beating Boston Bruins (4-2)"
Apr-20,1996,Basketball,Chicago Bulls win record 72 games in a season
Apr-20,2008,Car Racing,2008 Danica Patrick driving for Andretti Green Racing wins the Indy Japan 300 at Twin Ring Motegi; first female driver in history to win an IndyCar Series race
Apr-21,1951,Ice Hockey,"Stanley Cup Final,  Toronto Maple Leafs beat Montreal Canadiens (4-1)"
Apr-21,1995,Basketball,"Boston Celtics final regular season game at Boston Garden, NY Knicks win 98-92"
Apr-21,2003,Basketball,"LeBron James is selected by the Cleveland Cavaliers as the first overall pick in the 2003 NBA Draft, beginning one of the most storied careers in basketball history"
Apr-22,1903,Baseball,"NY Highlanders (Yankees) play their first MLB game, losing 3-1 before 11,950 spectators against the Washington Senators"
Apr-22,1915,Baseball,NY Yankees don pinstripes & hat-in-the-ring logo for 1st time
Apr-22,1945,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs beat Detroit Red Wings (4-3) overcoming a 3-0 deficit"
Apr-22,1954,Basketball,NBA adopts 24-second shot clock and six-team foul rule
Apr-22,1962,Ice Hockey,"Stanley Cup Final,  Toronto Maple Leafs beat Chicago Blackhawks (4-2)"
Apr-23,1903,Baseball,"NY Highlanders (Yankees) win their first game; beat Washington Senators, 7-2 at American League Park"
Apr-23,1950,Baseball,"1st Major League Baseball day game completed under lights (Phillies 6, Braves 5)"
Apr-23,1950,Ice Hockey,"Stanley Cup Final,  Detroit Red Wings beat NY Rangers (4-3)"
Apr-23,1989,Basketball,"Kareem Abdul-Jabbar scores 10 points in his last game as a Laker in a 121-117 win over Seattle SuperSonics at the LA Forum, finishing one 38,387 points"
Apr-23,2019,Soccer,Southampton striker Shane Long scores fastest goal in English Premier League history when he nets after 7.69 seconds in 1-1 draw at Watford
Apr-24,1902,Soccer,Newton Heath LYR Football Club change their name to Manchester United
Apr-24,1962,AFL,"Birthday of VFL/AFL icon Wayne Carey, considered by many the greatest AFL player of all time, a dominant North Melbourne forward who won two premierships and three All-Australian captaincies"
Apr-24,1973,Cricket,"Sachin Tendulkar is born in Bombay, India"
Apr-25,1964,Ice Hockey,"Stanley Cup Final, Toronto Maple Leafs complete a 3 peat beating Detroit Red Wings (4-3)"
Apr-26,1941,Baseball,A tradition begins with the first organ at a baseball stadium (Chicago Cubs)
Apr-26,2017,Baseball,"Gift Ngoepe becomes first Black African to play in Major League Baseball, for the Pittsburgh Pirates"
Apr-27,1908,Olympics,IV Summer Olympic Games open in London
Apr-30,1938,Soccer,The first televised FA Cup Final takes place between Huddersfield Town and Preston North End
May-01,1920,Baseball,"Baseball's longest professional game is played between the Brooklyn Robins and Boston Braves, lasting 26 innings to a 1-1 tie before darkness ends play after 3 hours and 50 minutes"
May-01,1965,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens beat Chicago Blackhawks (4-3)"
May-01,1991,Cricket,West Indian batsman Gordon Greenidge plays his last Test cricket innings
May-01,1994,Car Racing,Ayrton Senna dies after a crash in the San Marino Grand Prix
May-01,1995,Cricket,Steve Waugh scores career best 200
May-02,1908,AFL,Richmond & University play their first ever VFL games
May-02,1925,AFL,"Hawthorn, Footscray (Western Bulldogs) & North Melbourne play their first VFL games"
May-02,1970,Horse Racing,Diane Crump becomes the first female jockey to ride in the Kentucky Derby
May-02,2016,Soccer,"Leicester City wins the English Premier League title after starting the season at 5,000-1 odds"
May-03,1952,Horse Racing,Eddie Arcaro aboard Hill Gail wins his record fifth Kentucky Derby
May-03,1992,AFL,Geelong kick A VFL/AFL record score of 37.17.239 against Brisbane Bears
May-04,1969,Ice Hockey,"Stanley Cup Final, Montreal Canadiens sweep St Louis Blues (4-0_"
May-04,2019,Horse Racing,Kentucky Derby: stewards disqualify first-across-the-line Maximum Security for interference; longshot Country House declared winner; first DQ in race history for race intereference
May-05,1900,AFL,"After going winless for the first 3 VFL seasons, St Kilda win their first game in Rd 1 1900, beating Melbourne"
May-05,1966,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens earn back-to-back titles; beating Detroit Red Wings (4-2)"
May-05,1969,Basketball,"In his final game, Bill Russell wins a record 11th NBA title as the Celtics beat the Lakers"
May-05,1995,Basketball,"Last basketball game at Boston Garden; Celtics eliminated from playoffs by Orlando Magic, 95-92"
May-06,1954,Athletics,"Roger Bannister becomes the first person to run a mile in under four minutes, clocking 3:59.4 at Iffley Road track in Oxford, achieving what was considered an impossible feat of human endurance"
May-07,1988,Ice Hockey,"Wayne Gretzky scores his 1,000th career point in the NHL playoffs, the fastest player ever to reach the milestone, during the Edmonton Oilers' run to their fourth Stanley Cup title"
May-07,1994,Basketball,Denver Nuggets become NBA's 1st #8 seed to beat a #1 seed (Seattle)
May-08,1897,AFL,"The first games of VFL football are played, Carlton, Collingwood,Essendon, Fitzroy, Geelong, Melbourne, South Melbourne & St Kilda play in the inaugural VFL season"
May-08,1984,Olympics,The Soviet Union announces it will not participate in Los Angeles Summer Olympics in retaliation for the American boycott of the 1980 Moscow Olympics
May-08,1984,Basketball,"Birthday of NBA legend Dirk Nowitzki, who played all 21 seasons with the Dallas Mavericks, won the 2011 NBA Championship and MVP, and is the greatest European player in NBA history"
May-09,2015,AFL,Dustin Fletcher becomes just the 2nd player in VFL/AFL history to take the field after their 40th birthday
May-09,2018,Soccer,"2018 Manchester City smashes EPL records in 3-1 win over Brighton - most goals (105), most points (97) and most wins (31)"
May-10,1973,Ice Hockey,"Stanley Cup Final, Montreal Canadiens beat Chicago Blackhawks (4-2)"
May-11,1965,Cricket,West Indies becomes 1st holders of the Frank Worrell Cricket Trophy
May-11,1968,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens sweep St Louis Blues (4-0)"
May-11,1972,Ice Hockey,"Stanley Cup Final,  Boston Bruins beat NY Rangers (4-2)"
May-11,1984,Soccer,Johan Cruijff retires from soccer
May-12,1975,Rugby,"Birthday of Jonah Lomu in Auckland, New Zealand; the devastating All Blacks winger becomes the first global superstar of rugby union, scoring 37 tries in 63 Tests and forever changing how the game was played"
May-13,2007,Soccer,"At 16 years, 65 days Matthew Briggs debuts for Fulham in a 3-1 defeat at Middlesbrough; youngest player to appear in an English Premier League match"
May-14,1900,Olympics,"II Summer Olympics opened in Paris, France"
May-14,1961,AFL,"Birthday of AFL champion Michael Tuck, who played a record 426 VFL/AFL games for Hawthorn and won seven premierships"
May-14,1977,Ice Hockey,"Stanley Cup Final, Montreal Canadiens sweep Boston Bruins (4-0)"
May-15,1971,AFL,John Greening becomes the first VFL player to record 50 disposals in a single game
May-16,1982,Ice Hockey,"Stanley Cup Final, NY Islanders; sweep Vancouver Canucks (4-0)"
May-17,1875,Horse Racing,1st ever Kentucky Derby: Oliver Lewis wins aboard Aristides
May-17,1956,NFL,"Birthday of NFL running back Eric Dickerson, who rushed for a record 2,105 yards in a single season in 1984 with the Los Angeles Rams, a record that still stands"
May-17,1983,Ice Hockey,"Stanley Cup Final,  4 consecutive titles for NY Islanders; sweep Edmonton Oilers (4-0_"
May-18,1996,AFL,"Fitzroy win their last ever AFL game, merging with Brisbane Bears at the end of the season to create the Brisbane LIons"
May-19,1974,Ice Hockey,"Stanley Cup Final, Philadelphia Flyers beat Boston Bruins (4-2)"
May-19,2024,Soccer,Manchester City become the first team to win the English Premier League title for 4 consecutive seasons
May-21,1904,Soccer,FIFA is founded in Paris
May-21,1979,Ice Hockey,"Stanley Cup Final,  4 consecutive titles for Montreal Canadiens; beating NY Rangers (4-1)"
May-21,1981,Ice Hockey,"Stanley Cup Final,  NY Islanders win back-to-back titles; beat Minnesota North Stars (4-1)"
May-22,1955,Car Racing,1955 Louis Chiron becomes the oldest man to drive in the Grand Prix (aged 55) finishing 6th in the Monaco Grand Prix
May-23,1873,Horse Racing,"1st ever running of the Preakness Stakes: Survivor with George Barbee abaord, the winning horse"
May-23,1979,Cricket,"Wisden release the 1st edition of ""Wisden Cricket Monthly"""
May-23,1984,Soccer,"Birthday of Spanish football icon David Villa, Spain's all-time leading scorer with 59 international goals who was part of Spain's historic treble of Euro 2008, World Cup 2010, and Euro 2012"
May-24,1935,Baseball,"First Major League night baseball game, Reds beat Philadelphia 2-1 in Cincinnati"
May-24,1980,Ice Hockey,"Stanley Cup Final, In their first Finals appearance, NY Islanders beat Philadelphia Flyers (4-2)"
May-24,1986,Ice Hockey,"Stanley Cup Final,  Montreal Canadiens beat Calgary Flames (4-1)"
May-25,1868,Cricket,Australian Aboriginal Cricket tour of England begins v Surrey Gentlemen
May-25,1978,Ice Hockey,"Stanley Cup Final, Montreal Canadiens go back to back beating Boston Bruins (4-2)"
May-25,1989,Ice Hockey,"Stanley Cup Final, Calgary Flames win their first Stanley Cup beating Montreal Canadiens (4-2)"
May-25,1991,Ice Hockey,"Stanley Cup Final, Pittsburgh Penguins beat Minnesota North Stars (4-2)"
May-26,1928,AFL,"Fitzroy record the most innacurate kicking in VFL history, kicking 2.27.39 in losing to Geeong by 83 points, ironically Geelong have less scoring shots, kicking  19.8.122"
May-26,1959,Cricket,"Birthday of England's greatest all-rounder Ian Botham, who scored 5,200 Test runs and took 383 wickets in a remarkable career"
May-26,1988,Ice Hockey,"Stanley Cup Final, Edmonton Oilers sweep Boston Bruins (4-0)"
May-27,1975,Ice Hockey,"Stanley Cup Final,Philadelphia Flyers win back-to-back titles; beating Buffalo Sabres (4-2)"
May-28,1900,Olympics,"II Summer Olympics closes in Paris, France"
May-28,1912,Cricket,"Australian cricket spin bowler Jimmy Matthews takes 2 hat-tricks on same day in Triangular Tournament v South Africa at Old Trafford (3/16, 3/38); only player to achieve the feat"
May-28,1946,Baseball,"First night game at Yankee Stadium (Senators 2, Yankees 1)"
May-28,1981,Tennis,"Birthday of Rafael Nadal in Manacor, Spain; he goes on to win a record 14 French Open titles and 22 Grand Slam singles titles before retiring in 2024"
May-29,1954,Athletics,"British runner Diane Leather becomes first woman to run the mile in under 5 minutes; 4:59.6 at Alexander Sports Ground in Birmingham, England"
May-31,1902,Cricket,"1902 Australia Cricket all out 36 v England, Edgbaston, their lowest ever"
May-31,1987,Ice Hockey,"Stanley Cup Final,  Edmonton Oilers beat Philadelphia Flyers, 4-3"
Jun-01,1878,Soccer,Everton Football Club is founded 
Jun-01,1939,Baseball,First night MLB game takes place at Philadelphia's Shribe Park; Phillies lose 5-2 to Pittsburgh Pirates
Jun-01,1968,Horse Racing,100th Belmont Stakes: Gus Gustines wins aboard Stage Door Johnny 
Jun-03,1851,Baseball,"First baseball uniforms are worn as the NY Knickerbockers don straw hats, white shirts, and blue long trousers"
Jun-03,1892,Soccer,Liverpool Football Club is founded
Jun-03,1917,Soccer,Imre Schlosser becomes the first player to score 50 International goals
Jun-04,1964,Cricket,Geoff Boycott makes Test debut  v Australia at Trent Bridge
Jun-04,1984,Basketball,Boston Celtics defeat the Los Angeles Lakers 111-102 in Game 7 to win the NBA Championship; Larry Bird wins the Finals MVP after a dramatic seven-game series that renewed one of sport's greatest rivalries
Jun-04,1993,Cricket,"Shane Warne delivers cricket's ""Ball of the Century"" - bowling England batsman Mike Gatting with his first ball of an Ashes series"
Jun-04,2008,Ice Hockey,"Stanley Cup Final, Detroit Red Wings defeat Pittsburgh Penguins, 4-2"
Jun-05,1996,AFL,"Birthday of AFL superstar Dustin Martin, who became the first player to win the Brownlow Medal, Norm Smith Medal, and premiership in the same year (2017)"
Jun-06,1999,Football,"Tony Lockett breaks Gordon Coventry's VFL/AFL career goals record with 1,300th goal"
Jun-06,2007,Ice Hockey,"Stanley Cup Final, Anaheim Ducks defeat Ottawa Senators, 4-1"
Jun-07,1975,Cricket,Sri Lanka cricket's 1st ODI; West Indies win by 9 wickets in World Cup match in Manchester
Jun-07,1997,Ice Hockey,"Stanley Cup Final,  Detroit Red Wings sweep Philadelphia Flyers, 4-0"
Jun-07,2004,Ice Hockey,"Stanley Cup Final,  Tampa Bay Lightning beat Calgary Flames, 4-3"
Jun-07,2018,Ice Hockey,"Stanley Cup Final, Washington Capitals beat Las Vegas Golden Knights, 4-1"
Jun-08,1961,Cricket,Test cricket debut of future Australian captain Bill Lawry
Jun-08,1966,Football,NFL and AFL announce merger plans to form one league with two conferences (NFC and AFC) starting in 1970
Jun-08,1986,Basketball,Boston Celtics defeat the Houston Rockets 114-97 in Game 6 to win the NBA Championship; Larry Bird wins his second Finals MVP as Boston claim their 16th title
Jun-08,2018,Basketball,Golden State Warriors sweep the Cleveland Cavaliers 4-0 to win back-to-back NBA Championships; Kevin Durant wins his second consecutive Finals MVP
Jun-09,1945,Ice Hockey,"Birthday of ice hockey legend Phil Esposito, who set scoring records with the Boston Bruins and was the first player to score 100 points in a season (1968-69), winning the Hart Trophy twice"
Jun-09,1985,Basketball,"Los Angeles Lakers defeat the Boston Celtics 111-100 in Game 6 to win the NBA Championship; Kareem Abdul-Jabbar wins the Finals MVP aged 38, the oldest player ever to win the award"
Jun-09,1993,Ice Hockey,"Stanley Cup Final, Montreal Canadiens beat LA Kings, 4-1 "
Jun-09,2001,Ice Hockey,"Stanley Cup Final, Colorado Avalanche beat defending champion New Jersey Devils, 4-3"
Jun-09,2003,Ice Hockey,"Stanley Cup Final, New Jersey Devils beat Mighty Ducks of Anaheim, 4-3"
Jun-09,2010,Ice Hockey,"Stanley Cup Final, Chicago Blackhawks beat Philadelphia Flyers, 4-2"
Jun-09,2018,Horse Racing,150th Belmont Stakes: Justify wins with Mike Smith aboard to become 13th Triple Crown winner
Jun-10,1934,Soccer,"FIFA World Cup Final, Italy beats Czechoslovakia, 2-1"
Jun-10,1968,Rugby,Rugby Union World Cup: Australia beats France 20-2
Jun-10,1996,Ice Hockey,"Stanley Cup Final, Colorado Avalanche defeat Florida Panthers in 4 game series sweep"
Jun-10,2000,Ice Hockey,"Stanley Cup Final, New Jersey Devils defeat Dallas Stars, 4-2"
Jun-11,1997,Basketball,"Michael Jordan scores 38 points including the famous 'Flu Game' in Game 5 of the NBA Finals against the Utah Jazz, propelling Chicago Bulls to a 90-88 victory despite battling illness"
Jun-11,2011,Ice Hockey,"Stanley Cup Final, Pittsburgh Penguins defeat Nashville Predators, 4-2"
Jun-11,2012,Ice Hockey,"Stanley Cup Final, LA Kings defeat New Jersey Devils, 4-2"
Jun-12,1991,Basketball,"Chicago Bulls defeat the Los Angeles Lakers 108-101 in Game 5 to win their first NBA Championship; Michael Jordan wins the first of his six Finals MVP awards, beginning the Bulls dynasty"
Jun-12,2002,Basketball,Los Angeles Lakers sweep the New Jersey Nets 4-0 to win three consecutive NBA Championships; Shaquille O'Neal wins his third consecutive Finals MVP
Jun-12,2009,Ice Hockey,"Stanley Cup Final, Pittsburgh Penguins beat Detroit Red Wings, 4-3"
Jun-12,2011,Basketball,"Dallas Mavericks defeat the Miami Heat 105-95 in Game 6 to win the NBA Championship; Dirk Nowitzki wins the Finals MVP, becoming the first European-born player to lead a team to the title"
Jun-12,2016,Ice Hockey,"Stanley Cup Final, Pittsburgh Penguins defeat San Jose Sharks,4-2"
Jun-12,2017,Basketball,Golden State Warriors defeat the Cleveland Cavaliers 129-120 in Game 5 to win the NBA Championship; Kevin Durant wins the Finals MVP in his first season with the Warriors
Jun-12,2019,Ice Hockey,"Stanley Cup Final, St Louis Blues beat Boston Bruins, 4-3"
Jun-12,2021,Soccer,Christian Eriksen suffers an on-field cardiac arrest during Euro 2020 game with Finland in Copenhagen; revived with a defibrillator
